Industry,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
      Accommodation and food services,9602,9838,10040,10230,10335,10496,10777,11017,11291,11535,11578,11225,11262
          Accommodation,1782,1825,1863,1838,1781,1778,1798,1824,1842,1871,1880,1760,1756
          Food services and drinking places,7820,8013,8177,8392,8554,8718,8979,9193,9449,9663,9698,9465,9506
    Other services/except government,6566,6659,6730,6650,6890,6930,6984,6923,6965,7070,7097,6893,6743
  Government,22322,22611,23094,23427,23899,24003,24051,24137,24300,24515,24869,24974,24966
      Federal,5191,5136,5235,5076,5210,5246,5190,5114,5110,5091,5163,5255,5425
          General government,4200,4146,4260,4114,4258,4329,4299,4233,4237,4228,4308,4443,4662
          Government enterprises,991,990,975,962,952,917,891,881,873,863,855,812,763
      State and local,17131,17475,17859,18351,18689,18757,18861,19023,19190,19424,19706,19719,19541
          General government,16191,16530,16904,17352,17645,17705,17798,17968,18133,18329,18601,18606,18423
          Government enterprises,940,945,955,999,1044,1052,1063,1055,1057,1095,1105,1113,1118
